%um O O 
are O O 
going O O 
to O O 
go O O 
over O O 
and O O 
join O O 
up O O 
. O O 
Even O O 
Charlie B-PERSON B-PERSON 
's O O 
going O O 
to O O 
join O O 
? O O 
No O O 
, O O 
but O O 
it O O 
has O O 
to O O 
be O O 
debited O O 
from O O 
a O O 
bank O O 
account O O 
so O O 
it O O 
's O O 
got O O 
to O O 
be O O 
debited O O 
from O O 
his O O 
. O O 
yeah O O 
. O O 

In O O 
your O O 
letter O O 
you O O 
said O O 
that O O 
he O O 
eats O O 
constantly O O 
. O O 
oh O O 
my O O 
god O O 
. O O 
Really O O 
? O O 
Alice B-PERSON B-PERSON 
, O O 
I O O 
've O O 
never O O 
seen O O 
anybody O O 
eat O O 
as O O 
much O O 
as O O 
he O O 
does O O 
and O O 
he O O 
's O O 
so O O 
skinny O O 
. O O 

mhm O O 
. O O 
I O O 
mean O O 
the O O 
amount O O 
of O O 
cereal O O 
he O O 
eats O O 
like O O 
between O O 
meals O O 
and O O 
after O O 
meals O O 
yeah O O 
. O O 
and O O 
we O O 
go O O 
through O O 
a O O 
box O O 
of O O 
cereal O O 
every B-DATE O 
two I-DATE I-DATE 
days I-DATE I-DATE 
. O O 
Really O O 
? O O 

yeah O O 
. O O 
Wow O O 
. O O 
He O O 
eats O O 
at O O 
least O O 
like O O 
four B-CARDINAL B-CARDINAL 
of O O 
cereal O O 
a O O 
day O O 
like O O 
in O O 
addition O O 
to O O 
like O O 
meals O O 
. O O 
And O O 
when O O 
he O O 
goes O O 
to O O 
work O O 
he O O 
brings O O 
four B-CARDINAL B-CARDINAL 
sandwiches O O 
with O O 
him O O 
, O O 
uh-huh O O 
. O O 
a O O 
bag O O 
of O O 
potato O O 
chips O O 
uh-huh O O 
. O O 
%um O O 
you O O 
know O O 
and O O 
then O O 
little O O 
sweetie O O 
things O O 
chocolates O O 
and O O 
**cakies** O O 
and O O 
stuff O O 
like O O 
that O O 
. O O 
And O O 
then O O 
you O O 
know O O 
before O O 
he O O 
leaves O O 
every O O 
morning O O 
he O O 
has O O 
like O O 
two B-CARDINAL B-CARDINAL 
fried O O 
eggs O O 
mhm O O 
on O O 
toast O O 
with O O 
cheese O O 
%um O O 
vegetarian O O 
sausages O O 
%um O O 
and O O 
like O O 
fruit O O 

and O O 
oh O O 
my O O 
god O O 
it O O 
's O O 
just O O 
crazy O O 
. O O 
mhm O O 
. O O 
It O O 
's O O 
crazy O O 
how O O 
much O O 
he O O 
eats O O 
. O O 
He O O 
was O O 
probably O O 
starving O O 
when O O 
he O O 
was O O 
here O O 
. O O 
yeah O O 
. O O 

I O O 
think O O 
what O O 
we O O 
got O O 
to O O 
do O O 
is O O 
just O O 
when O O 
he O O 
comes O O 
just O O 
have O O 
lots O O 
of O O 
cereal O O 
. O O 
He O O 
likes O O 
Cocoa B-PRODUCT O 
Pops I-PRODUCT O 
. O O 
oh O O 
boy O O 
. O O 
Wow O O 
. O O 
That O O 
's O O 
pretty O O 
crazy O O 
. O O 

yeah O O 
. O O 
It O O 
's O O 
all O O 
about O O 
being O O 
a O O 
blue O O 
collar O O 
man O O 
. O O 
I O O 
guess O O 
so O O 
. O O 
They O O 
're O O 
the O O 
ones O O 
who O O 
can O O 
eat O O 
all B-TIME O 
day I-TIME O 
. O O 
Really O O 
? O O 

Well O O 
I O O 
mean O O 
he O O 
does O O 
work O O 
his O O 
ass O O 
off O O 
yeah O O 
. O O 
But O O 
%uh O O 
291.01_291.28_B: O O 
%hm O O 
. O O 
%hm O O 
. O O 
So O O 
, O O 
I O O 
assume O O 
it O O 
's O O 
hard O O 
for O O 
you O O 
not O O 
to O O 
eat O O 
as O O 
much O O 
as O O 
he O O 
does O O 
. O O 

No O O 
. O O 
I O O 
learned O O 
quick O O 
fast O O 
in O O 
a O O 
hurry O O 
because O O 
I O O 
've O O 
gained O O 
so O O 
much O O 
weight O O 
. O O 
oh O O 
really O O 
? O O 
yeah O O 
. O O 
Actually O O 
in O O 
the B-DATE O 
first I-DATE B-ORDINAL 
week I-DATE O 
I O O 
was O O 
here O O 
-- O O 
mhm O O 
. O O 
-- O O 
I O O 
gained O O 
a O O 
lot O O 

so O O 
. O O 
Well O O 
it O O 
's O O 
hard O O 
to O O 
you O O 
know O O 
not O O 
eat O O 
when O O 
somebody O O 
else O O 
is O O 
eating O O 
. O O 
Well O O 
I O O 
'm O O 
figuring O O 
it O O 
out O O 
fast O O 
because O O 
-- O O 
okay O O 
-- O O 
with O O 
not O O 
working O O 
out O O 
and O O 
all O O 
yeah O O 
. O O 
it O O 
's O O 
pretty O O 
miserable O O 
my O O 
crunch O O 
tape O O 
. O O 
%mm O O 
. O O 
So O O 
I O O 
called O O 
this O O 
woman O O 
today B-DATE O 

and O O 
%um O O 
, O O 
she O O 
's O O 
a O O 
dressmaker O O 
and O O 
we O O 
're O O 
going O O 
to O O 
go O O 
see O O 
her O O 
next B-DATE B-DATE 
Thursday I-DATE I-DATE 
and O O 
talk O O 
about O O 
her O O 
making O O 
my O O 
wedding O O 
dress O O 
. O O 
Slate O O 
green O O 
. O O 
yeah O O 
. O O 
%uh O O 
. O O 

See O O 
, O O 
that O O 
way O O 
I O O 
can O O 
have O O 
exactly O O 
what O O 
I O O 
want O O 
. O O 
Exactly O O 
. O O 
And O O 
it O O 
's O O 
only O O 
going O O 
to O O 
be O O 
about B-MONEY B-QUANTITY 
two I-MONEY I-QUANTITY 
hundred I-MONEY I-QUANTITY 
and I-MONEY I-QUANTITY 
fifty I-MONEY I-QUANTITY 
pounds I-MONEY I-QUANTITY 
which O O 
is O O 
about B-MONEY B-MONEY 
three I-MONEY I-MONEY 
hundred I-MONEY I-MONEY 
and I-MONEY I-MONEY 
fifty I-MONEY I-MONEY 
dollars I-MONEY I-MONEY 
. O O 
uh-huh O O 
. O O 
So O O 
it O O 
's O O 
pretty O O 
good O O 
I O O 
mean O O 
comparatively O O 
. O O 

yeah O O 
. O O 
And O O 
it O O 
'll O O 
be O O 
exactly O O 
what O O 
I O O 
want O O 
and O O 
it O O 
'll O O 
look O O 
good O O 
on O O 
me O O 
, O O 
you O O 
know O O 
like O O 
fit O O 
me O O 
, O O 
Sure O O 
. O O 
which O O 
is O O 
necessary O O 
at O O 
the O O 
moment O O 
because O O 
I O O 
'm O O 
plump O O 
so O O 
. O O 
mhm O O 
. O O 

Now O O 
, O O 
daddy O O 
got O O 
%um O O 
the O O 
invitations O O 
together O O 
for O O 
you O O 
today B-DATE O 
. O O 
uh-huh O O 
. O O 
And O O 
in O O 
it O O 
I O O 
put O O 
, O O 
%um O O 
paint O O 
samples O O 
from O O 
Sherwin B-ORG B-PERSON 
Williams I-ORG I-PERSON 
uh-huh O O 
. O O 
of O O 
all O O 
the O O 
different O O 
like O O 
shades O O 
of O O 
what O O 
color O O 
I O O 
thought O O 
you O O 
might O O 
be O O 
thinking O O 
of O O 
for O O 
the O O 
bride O O 
's O O 
maids O O 
. O O 
uh-huh O O 
. O O 
oh O O 
I O O 
already O O 
told O O 
them O O 
all O O 
black O O 

but O O 
dad O O 
does O O 
n't O O 
want O O 
black O O 
he O O 
said O O 
. O O 
Mom O O 
and O O 
dad O O 
wo O O 
n't O O 
have O O 
black O O 
. O O 
They O O 
do O O 
n't O O 
want O O 
black O O 
? O O 
They O O 
're O O 
really O O 
opposed O O 
to O O 
it O O 
. O O 
Did O O 
you O O 
call O O 
Sharon B-PERSON O 
and O O 
tell O O 
her O O 
that O O 
? O O 

No O O 
. O O 
Could O O 
you O O 
do O O 
that O O 
? O O 
okay O O 
. O O 
Could O O 
you O O 
call O O 
Kate B-PERSON B-PERSON 
and O O 
tell O O 
her O O 
that O O 
? O O 
yeah O O 
. O O 

Just O O 
say O O 
you O O 
know O O 
my O O 
parents O O 
are O O 
really O O 
opposed O O 
to O O 
black O O 
. O O 
yeah O O 
. O O 
They O O 
wo O O 
n't O O 
buy O O 
me O O 
a O O 
black O O 
dress O O 
. O O 
They O O 
wo O O 
n't O O 
? O O 
Here O O 
wait O O 
. O O 

Let O O 
me O O 
look O O 
for O O 
my O O 
phonebook O O 
. O O 
No O O 
. O O 
Never O O 
mind O O 
. O O 
I O O 
can O O 
just O O 
open O O 
the O O 
thing O O 
here O O 
. O O 
Now O O 
wait O O 
. O O 

What O O 
, O O 
god O O 
we O O 
got O O 
so O O 
much O O 
furniture O O 
in O O 
this O O 
tiny O O 
apartment O O 
. O O 
It O O 
's O O 
crazy O O 
. O O 
There O O 
's O O 
drawers O O 
everywhere O O 
, O O 
to O O 
figure O O 
out O O 
where O O 
everything O O 
is O O 
. O O 
okay O O 
. O O 

Let O O 
me O O 
give O O 
you O O 
Kate B-PERSON B-PERSON 
's O O 
phone O O 
number O O 
. O O 
You O O 
can O O 
just O O 
leave O O 
a O O 
message O O 
. O O 
okay O O 
. O O 
okay O O 
. O O 
two B-CARDINAL B-CARDINAL 
one B-CARDINAL B-CARDINAL 
, O O 
two B-CARDINAL B-CARDINAL 
one B-CARDINAL B-CARDINAL 
two B-CARDINAL B-CARDINAL 
uh-huh O O 
. O O 
two B-CARDINAL B-CARDINAL 
two B-CARDINAL B-CARDINAL 
six B-CARDINAL B-CARDINAL 
uh-huh O O 
. O O 
O B-CARDINAL O 
one B-CARDINAL B-CARDINAL 
two B-CARDINAL B-CARDINAL 
five B-CARDINAL B-CARDINAL 
. O O 

okay O O 
. O O 
okay O O 
. O O 
I O O 
'll O O 
do O O 
that O O 
. O O 
But O O 
%uh O O 
, O O 
yeah O O 
, O O 

apparently O O 
like O O 
at O O 
Lisa B-PERSON O 
Manachi I-PERSON I-PERSON 
's I-PERSON O 
wedding O O 
like O O 
the B-TIME O 
whole I-TIME O 
night I-TIME O 
people O O 
were O O 
talking O O 
about O O 
how O O 
bad O O 
the O O 
black O O 
dresses O O 
were O O 
. O O 
Really O O 
? O O 
Like O O 
everyone O O 
at O O 
mom O O 
and O O 
dad O O 
's O O 
table O O 
. O O 
yeah O O 
. O O 
Who O O 
was O O 
at O O 
mom O O 
and O O 
dad O O 
's O O 
table O O 
? O O 

just O O 
all O O 
of O O 
Lorraine B-PERSON B-PERSON 
's O O 
friends O O 
. O O 
mhm O O 
. O O 
Who O O 
you O O 
know O O 
of O O 
course O O 
most O O 
of O O 
them O O 
mom O O 
and O O 
dad O O 
had O O 
at O O 
least O O 
met O O 
once O O 
before O O 
. O O 
mhm O O 
. O O 
But O O 
%uh O O 
yeah O O 
, O O 
and O O 
Adele B-PERSON B-PERSON 
still O O 
talks O O 
about O O 
the O O 
black O O 
dress O O 
. O O 

What O O 
? O O 
How O O 
hideous O O 
they O O 
were O O 
. O O 
Adele B-PERSON B-PERSON 
was O O 
n't O O 
at O O 
Lisa B-PERSON B-PERSON 
Manachi I-PERSON I-PERSON 
's I-PERSON O 
. O O 
Adele B-PERSON B-PERSON 
went O O 
to O O 
the O O 
mass O O 
wedding O O 
. O O 
She O O 
did O O 
? O O 

uh-huh O O 
. O O 
oh O O 
. O O 
And O O 
she O O 
wanted O O 
me O O 
to O O 
take O O 
her O O 
and O O 
I O O 
refused O O 
to O O 
go O O 
and O O 
she O O 
got O O 
mad O O 
. O O 

Really O O 
? O O 
Well O O 
I O O 
said O O 
I O O 
would O O 
not O O 
feel O O 
comfortable O O 
going O O 
. O O 
I O O 
was O O 
not O O 
invited O O 
. O O 
mhm O O 
. O O 
You O O 
know O O 
and O O 
mom O O 
and O O 
dad O O 
were O O 
like O O 
well O O 
you O O 
know O O 
a O O 
wedding O O 
that O O 
's O O 
a O O 
mass O O 
is O O 
open O O 
to O O 
everyone O O 
. O O 
I O O 
was O O 
like O O 
well O O 
that O O 
's O O 
fine O O 

but O O 
I O O 
would O O 
not O O 
feel O O 
comfortable O O 
going O O 
. O O 
mhm O O 
. O O 
I O O 
think O O 
that O O 
would O O 
be O O 
obnoxious O O 
and O O 
I O O 
think O O 
they O O 
would O O 
then O O 
feel O O 
guilty O O 
for O O 
not O O 
inviting O O 
me O O 
. O O 
Right O O 
. O O 

To O O 
-- O O 
-- O O 
you O O 
know O O 
the O O 
other O O 
thing O O 
, O O 
the O O 
reception O O 
. O O 
I O O 
just O O 
would O O 
n't O O 
go O O 
. O O 
%mm O O 
. O O 
So O O 
they O O 
had O O 
to O O 
take O O 
it O O 
down O O 
and O O 
drive O O 
her O O 
home O O 
. O O 
%mm O O 
. O O 

So O O 
they O O 
're O O 
always O O 
kind O O 
of O O 
pissy O O 
at O O 
me O O 
. O O 
%mm O O 
. O O 
That O O 
's O O 
okay O O 
. O O 
yeah O O 
. O O 
yeah O O 
. O O 
I O O 
mean O O 
I O O 
've O O 
been O O 
thinking O O 
about O O 
it O O 

and O O 
the O O 
black O O 
's O O 
not O O 
going O O 
to O O 
be O O 
so O O 
hot O O 
you O O 
know O O 
mhm O O 
. O O 
yeah O O 
. O O 
Apparently O O 
they O O 
were O O 
also O O 
carrying O O 
lillies O O 
which O O 
is O O 
kind O O 
of O O 
goofy O O 
. O O 
yeah O O 
. O O 

Well O O 
I O O 
guess O O 
she O O 
did O O 
that O O 
because O O 
someone O O 
suggested O O 
that O O 
to O O 
her O O 
because O O 
you O O 
know O O 
the O O 
lillies O O 
the O O 
symbol O O 
of O O 
the O O 
virgin O O 
Mary B-PERSON O 
. O O 
mhm O O 
. O O 
White O O 
lillies O O 
? O O 
White O O 
lillies O O 
and O O 
black O O 
dresses O O 
. O O 
%mm O O 
, O O 
my O O 
goodness O O 
. O O 

That O O 
's O O 
funny O O 
. O O 
yeah O O 
. O O 
yeah O O 
. O O 
Adele B-PERSON B-PERSON 
was O O 
carrying O O 
on O O 
that O O 
she O O 
thought O O 
she O O 
was O O 
at O O 
a O O 
funeral O O 
and O O 
she O O 
had O O 
to O O 
keep O O 
reminding O O 
herself O O 
. O O 

%mm O O 
. O O 
So O O 
now O O 
you O O 
think O O 
my O O 
wedding O O 
's O O 
going O O 
to O O 
be O O 
pretty O O 
tasteful O O 
right O O 
? O O 
oh O O 
yeah O O 
. O O 
Now O O 
what O O 
about O O 
the O O 
matchbooks O O 
? O O 
Well O O 
I O O 
'll O O 
work O O 
on O O 
it O O 
. O O 

I O O 
still O O 
think O O 
about O O 
the O O 
matchbooks O O 
. O O 
yeah O O 
. O O 
I O O 
'll O O 
tell O O 
dad O O 
that O O 
you O O 
still O O 
think O O 
about O O 
the O O 
I O O 
have O O 
n't O O 
forgotten O O 
those O O 
and O O 
they O O 
'll O O 
still O O 
be O O 
enough O O 
time O O 
when O O 
I O O 
come O O 
home O O 
for O O 
me O O 
to O O 
order O O 
those O O 
. O O 

yeah O O 
. O O 
I O O 
'll O O 
have O O 
remind O O 
him O O 
of O O 
that O O 
little O O 
-- O O 
-- O O 
item O O 
. O O 
yeah O O 
. O O 
%huh O O 
how O O 
fun- O O 
. O O 
You O O 
know O O 
I O O 
was O O 
talking O O 
to O O 
my O O 
friend O O 
Heather B-PERSON O 
from O O 
Wisconsin B-GPE B-GPE 
the O O 
other O O 
day O O 
-- O O 

-- O O 
and O O 
she O O 
's O O 
telling O O 
me O O 
about O O 
you O O 
know O O 
her O O 
sister O O 
's O O 
wedding O O 
. O O 
And O O 
at O O 
her O O 
sister O O 
's O O 
wedding O O 
%uh O O 
, O O 
they O O 
provided O O 
champagne O O 
and O O 
beer O O 
. O O 
But O O 
if O O 
you O O 
wanted O O 
any O O 
other O O 
kind O O 
of O O 
drink O O 
you O O 
had O O 
to O O 
pay O O 
for O O 
it O O 
. O O 
mhm O O 
. O O 
yeah O O 
. O O 

that O O 
's O O 
actually O O 
kind O O 
of O O 
common O O 
but O O 
-- O O 
oh O O 
it O O 
is O O 
. O O 
it O O 
's O O 
pretty O O 
de O O 
classe O O 
. O O 
Well O O 
I O O 
kind O O 
of O O 
thou- O O 
, O O 
I O O 
mean O O 
of O O 
course O O 
I O O 
did O O 
n't O O 
say O O 
anything O O 
to O O 
her O O 
. O O 
yeah O O 
. O O 

You O O 
know O O 
I O O 
said O O 
as O O 
far O O 
as O O 
I O O 
knew O O 
we O O 
were O O 
n't O O 
charging O O 
people O O 
. O O 
yeah O O 
. O O 
But O O 
%uh O O 
, O O 
Dad O O 
and O O 
I O O 
went O O 
to O O 
buy O O 
the O O 
wine O O 
the O O 
other O O 
day O O 
. O O 
And O O 
there O O 
were O O 
having O O 
a O O 
sale O O 
on O O 
the O O 
wine O O 
dad O O 
wanted O O 
. O O 

Are O O 
you O O 
talking O O 
to O O 
me O O 
? O O 
Of O O 
course O O 
I O O 
'm O O 
talking O O 
to O O 
you O O 
. O O 
I O O 
can O O 
hardly O O 
hear O O 
you O O 
. O O 
oh O O 
. O O 
I O O 
thought O O 
you O O 
were O O 
talking O O 
to O O 
somebody O O 
else O O 
and O O 
like O O 
put O O 
the O O 
phone O O 
down O O 
or O O 
something O O 
. O O 

I O O 
'm O O 
talking O O 
to O O 
you O O 
. O O 
oh O O 
. O O 
yeah O O 
. O O 
No O O 
dad O O 
told O O 
me O O 
that O O 
. O O 
oh O O 
he O O 
did O O 
tell O O 
you O O 
. O O 

It O O 
's O O 
all O O 
Chilean B-NORP B-NORP 
. O O 
yeah O O 
. O O 
yeah O O 
. O O 
Walnut B-ORG B-PRODUCT 
Crest I-ORG O 
or O O 
Walnut B-ORG B-PRODUCT 
Creek I-ORG O 
or O O 
-- O O 
%mm O O 
. O O 
-- O O 
something O O 
like O O 
that O O 
. O O 
I O O 
do O O 
n't O O 
know O O 
. O O 

%mm O O 
. O O 
There O O 
's O O 
a O O 
pretty O O 
good O O 
sale O O 
. O O 
%mm O O 
. O O 
So O O 
now O O 
we O O 
have O O 
to O O 
keep O O 
our O O 
eyes O O 
open O O 
for O O 
a O O 
champagne O O 
sale O O 
. O O 
An- O O 
, O O 
do O O 
you O O 
know O O 
if O O 
Jack B-PERSON B-PERSON 
called O O 
Spencer B-PERSON B-PERSON 
yet O O 
? O O 
I O O 
told O O 
him O O 
this B-TIME O 
morning I-TIME O 
to O O 
do O O 
it O O 
this O B-DATE 
week O I-DATE 
. O O 

uh-huh O O 
. O O 
And O O 
he O O 
just O O 
keeps O O 
forgetting O O 
. O O 
yeah O O 
. O O 
But O O 
o- O O 
How O O 
's O O 
he O O 
doing O O 
? O O 

Much O O 
better O O 
. O O 
yeah O O 
? O O 
yeah O O 
. O O 
he O O 
's O O 
often O O 
chipper O O 
. O O 
He O O 
went O O 
for O O 
a O O 
walk O O 
this B-TIME O 
morning I-TIME O 
at I-TIME O 
five I-TIME B-TIME 
seventeen I-TIME I-TIME 
. O O 

oh O O 
my O O 
god O O 
. O O 
Is O O 
that O O 
because O O 
he O O 
's O O 
not O O 
sleeping O O 
and O O 
Well O O 
because O O 
he O O 
could O O 
n't O O 
breathe O O 
because O O 
all O O 
the O O 
cats O O 
were O O 
in O O 
the O O 
bedroom O O 
. O O 
oh O O 
. O O 
So O O 
I O O 
think O O 
it O O 
's O O 
time O O 
to O O 
give O O 
all O O 
the O O 
cats O O 
a O O 
bath O O 
. O O 

%mm O O 
. O O 
and O O 
the- O O 
, O O 
you O O 
should O O 
do O O 
that O O 
. O O 
I O O 
know O O 
. O O 
It O O 
's O O 
a O O 
two B-CARDINAL B-CARDINAL 
person O O 
job O O 
though O O 
. O O 

I O O 
'll O O 
have O O 
to O O 
get O O 
somebody O O 
to O O 
help O O 
me O O 
. O O 
%mm O O 
. O O 
yeah O O 
. O O 
%hm O O 
. O O 
But O O 
%uh O O 
, O O 
yeah O O 
, O O 
it O O 
's O O 
still O O 
a O O 
fairly O O 
expensive O O 
call O O 

%uh O O 
but O O 
it O O 
's O O 
a O O 
lot O O 
less O O 
expensive O O 
if O O 
we O O 
do O O 
it O O 
that O O 
way O O 
than O O 
if O O 
we O O 
actually O O 
make O O 
my O O 
parents O O 
in O O 
law O O 
pay O O 
it O O 
, O O 
then O O 
it O O 
the O O 
Dutch B-NORP B-NORP 
have O O 
such O O 
high O O 
taxes O O 
on O O 
those O O 
they O O 
consider O O 
it O O 
a O O 
luxury O O 
to O O 
call O O 
around O O 
the O O 
world O O 
so O O 
they O O 
tax O O 
it O O 
really O O 
high O O 
. O O 

Anyway O O 
%um O O 
So O O 
you O O 
guys O O 
will O O 
be O O 
in O O 
either O O 
the B-DATE B-DATE 
eighteenth I-DATE B-DATE 
or O O 
the B-DATE B-DATE 
nineteenth I-DATE I-DATE 
and O O 
you O O 
're O O 
going O O 
to O O 
go O O 
to O O 
%uh O O 
Amsterdam B-GPE B-GPE 
. O O 
Well O O 
I O O 
would O O 
say O O 
is O O 
once O O 
you O O 
're O O 
at O O 
a O O 
hotel O O 
uh-huh O O 
%um O O 
, O O 
why O O 
do O O 
n't O O 
you O O 
call O O 
me O O 
at O O 
work O O 
and O O 
let O O 
me O O 
know O O 
where O O 
you O O 
are O O 
, O O 
and O O 
then O O 
we O O 
can O O 
make O O 
arrangements O O 
that O O 
day O O 
%um O O 
, O O 
that O O 
I O O 
can O O 
meet O O 
you O O 
in O O 
Amsterdam B-GPE B-GPE 
. O O 

And O O 
maybe O O 
I O O 
'll O O 
come O O 
by O O 
, O O 
public O O 
transport O O 
. O O 
It O O 
's O O 
probably O O 
easier O O 
for O O 
me O O 
to O O 
come O O 
by O O 
public O O 
transport O O 
in O O 
Amsterdam B-GPE B-GPE 
than O O 
it O O 
is O O 
for O O 
me O O 
to O O 
come O O 
by O O 
car O O 
to O O 
be O O 
honest O O 
. O O 
mhm O O 
. O O 
The O O 
streets O O 
are O O 
small O O 
and O O 
there O O 
's O O 
no O O 
parking O O 
. O O 

So O O 
I O O 
probably O O 
will O O 
come O O 
by O O 
public O O 
transport O O 
but O O 
I O O 
do O O 
n't O O 
know O O 
. O O 
We O O 
'll O O 
see O O 
where O O 
you O O 
're O O 
staying O O 
and O O 
there O O 
's O O 
a O O 
lot O O 
more O O 
for O O 
you O O 
guys O O 
if O O 
you O O 
want O O 
to O O 
see O O 
stuff O O 
you O O 
can O O 
see O O 
stuff O O 
in O O 
Amsterdam B-GPE B-GPE 

and O O 
%uh O O 
since O O 
the O O 
days O O 
are O O 
really O O 
long O O 
, O O 
I O O 
mean O O 
it O O 
stays O O 
light O O 
here O O 
till O O 
about O B-TIME 
ten B-TIME I-TIME 
thirty I-TIME I-TIME 
eleven B-TIME I-TIME 
o'clock I-TIME I-TIME 
mhm O O 
. O O 
at B-TIME O 
night I-TIME O 
. O O 
So O O 
if O O 
you O O 
want O O 
we O O 
can O O 
take O O 
a O O 
ride O O 
and O O 
go O O 
see O O 
stuff O O 
at B-TIME O 
night I-TIME O 
and O O 
I O O 
can O O 
take O O 
you O O 
to O O 
some O O 
places O O 
, O O 
we O O 
can O O 
%uh O O 
go O O 
see O O 
some O O 
stuff O O 
. O O 

%um O O 
, O O 
depends O O 
on O O 
what O O 
you O O 
guys O O 
want O O 
to O O 
see O O 
. O O 
So O O 
you O O 
guys O O 
should O O 
pick O O 
out O O 
the O O 
things O O 
you O O 
want O O 
to O O 
see O O 
and O O 
let O O 
me O O 
know O O 
. O O 
%um O O 
and O O 
I O O 
'll O O 
sit O O 
and O O 
talk O O 
with O O 
Anya B-PERSON B-PERSON 
about O O 
some O O 
things O O 
that O O 
maybe O O 
we O O 
think O O 
that O O 
it O O 
would O O 
be O O 
neat O O 
for O O 
you O O 
to O O 
see O O 
. O O 
So O O 
if O O 
you O O 
do O O 
n't O O 
have O O 
any O O 
ideas O O 
we O O 
'll O O 
just O O 
put O O 
something O O 
together O O 
for O O 
you O O 
. O O 
okay O O 
. O O 

%um O O 
but O O 
yeah O O 
but O O 
I O O 
can O O 
pick O O 
you O O 
up O O 
th- O O 
, O O 
you O O 
know O O 
I O O 
'll O O 
probably O O 
be O O 
there O O 
some O O 
time O O 
around B-TIME O 
six I-TIME O 
and O O 
we O O 
can O O 
like O O 
do O O 
a O O 
quick O O 
dinner O O 
or O O 
something O O 
yeah O O 
and O O 
go O O 
see O O 
whatever O O 
you O O 
want O O 
to O O 
see O O 
, O O 
if O O 
you O O 
want O O 
to O O 
stay O O 
in O O 
Amsterdam B-GPE B-GPE 
that O O 
's O O 
fine O O 
. O O 

If O O 
you O O 
want O O 
to O O 
go O O 
%uh O O 
off O O 
into O O 
the O O 
countryside O O 
somewhere O O 
and O O 
see O O 
a O O 
little O O 
bit O O 
of O O 
, O O 
echte O O 
Holland B-GPE B-GPE 
, O O 
real O O 
Holland B-GPE B-GPE 
and O O 
we O O 
can O O 
do O O 
that O O 
too O O 
. O O 
Actually O O 
I O O 
've O O 
been O O 
up O O 
to O O 
Holland B-GPE B-GPE 
before O O 
. O O 
Spent O O 
about B-DATE B-DATE 
two I-DATE I-DATE 
weeks I-DATE I-DATE 
up O O 
there O B-GPE 
. O O 
yeah O O 
. O O 
So O O 
%um O O 
, O O 

but O O 
that O O 
was O O 
years B-DATE O 
and I-DATE I-DATE 
years I-DATE I-DATE 
ago I-DATE I-DATE 
. O O 
With O O 
your O O 
parents O O 
when O O 
your O O 
father O O 
was O O 
stationed O O 
over O O 
here O O 
, O O 
right O O 
? O O 
yeah O O 
. O O 
But O O 
we O O 
got O O 
to O O 
see O O 
Den B-GPE B-GPE 
Haag I-GPE O 
and O O 
places O O 
like O O 
that O O 
too O O 
which O O 
we O O 
're O O 
obviously O O 
not O O 
going O O 
to O O 
see O O 
this O O 
time O O 
. O O 
But O O 
%um O O 

has O O 
Kim B-PERSON B-PERSON 
been O O 
here O O 
before O O 
? O O 
And O O 
, O O 
an- O O 
No O O 
. O O 
oh O O 
good O O 
. O O 
But O O 
then O O 
again O O 
I O O 
'm O O 
not O O 
sure O O 
that O O 
Kim B-PERSON B-PERSON 
would O O 
be O O 
interested O O 
in O O 
seeing O O 
Shape B-FAC O 
Headquarters I-FAC O 
and O O 
you O O 
know O O 
all O O 
that O O 
kind O O 
of O O 
stuff O O 
. O O 
those O O 
military O O 
things O O 
. O O 

Would O O 
you O O 
be O O 
interested O O 
in O O 
seeing O O 
Shape B-FAC O 
Headquarters I-FAC O 
again O O 
. O O 
No O O 
. O O 
Not O O 
really O O 
. O O 
yeah O O 
. O O 
I O O 
did O O 
n't O O 
think O O 
so O O 
. O O 
Somehow O O 
I O O 
had O O 
this O O 
feeling O O 
that O O 
the O O 
military O O 
taste O O 
had O O 
been O O 
beaten O O 
out O O 
of O O 
you O O 
. O O 

yep O O 
. O O 
I O O 
'm O O 
, O O 
the O O 
mil- O O 
, O O 
I O O 
ca O O 
n't O O 
say O O 
too O O 
bad O O 
things O O 
about O O 
the O O 
military O O 
though O O 
. O O 
They O O 
still O O 
have O O 
my O O 
goods O O 

and O O 
they O O 
'll O O 
probably O O 
hold O O 
them O O 
hostage O O 
. O O 
And O O 
they O O 
own O O 
my O O 
body O O 
and O O 
soul O O 
for O O 
like O O 
another B-DATE I-DATE 
four I-DATE I-DATE 
years I-DATE I-DATE 
so O O 
I O O 
just O O 
got O O 
to O O 
pray O O 
that O O 
they O O 
oh O O 
do O O 
they O O 
? O O 
yeah O O 
. O O 

I O O 
owe O O 
four B-DATE B-DATE 
years I-DATE I-DATE 
in O O 
active O O 
reserve O O 
time O O 
. O O 
aw O O 
great O O 
. O O 
Do O O 
they O O 
do O O 
that O O 
to O O 
everyone O O 
? O O 
Milo O B-PERSON 
, O O 
get O O 
out O O 
of O O 
there O O 
yeah O O 
-- O O 
-- O O 
%eh O O 
everyone O O 
%uh O O 
who O O 
has O O 
n't O O 
been O O 
like O O 
you O O 
were O O 

you O O 
went O O 
through O O 
like O O 
the O O 
thirty B-CARDINAL B-CARDINAL 
six I-CARDINAL I-CARDINAL 
two B-CARDINAL I-CARDINAL 
process O O 
. O O 
mhm O O 
. O O 
So O O 
you O O 
do O O 
